Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS1,Chrome 95.0.4638.69,,,2021-11-20 14:07:47,2021-11-20 14:07:57,10.645s,PASSED
,,,,,,,
Test Cases/main/TC1,Chrome 95.0.4638.69,,,2021-11-20 14:07:47,2021-11-20 14:07:57,10.144s,PASSED
"openBrowser("""")",Chrome 95.0.4638.69,,,2021-11-20 14:07:47,2021-11-20 14:07:52,4.250s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/profile.php#login"")",Chrome 95.0.4638.69,,,2021-11-20 14:07:52,2021-11-20 14:07:54,2.400s,PASSED
"setText(findTestObject(""Login/Page_CURA Healthcare Service_Login/input_Username_username""), ""John Doe"")",Chrome 95.0.4638.69,,,2021-11-20 14:07:54,2021-11-20 14:07:56,1.396s,PASSED
"setEncryptedText(findTestObject(""Login/Page_CURA Healthcare Service_Login/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 95.0.4638.69,,,2021-11-20 14:07:56,2021-11-20 14:07:56,0.531s,PASSED
"click(findTestObject(""Login/Page_CURA Healthcare Service_Login/button_Login""))",Chrome 95.0.4638.69,,,2021-11-20 14:07:56,2021-11-20 14:07:57,1.004s,PASSED
closeBrowser(),Chrome 95.0.4638.69,,,2021-11-20 14:07:57,2021-11-20 14:07:57,0.276s,PASSED
